incident,category,emergency
thieves entered building illegally,Crime,True
shop robbed during night,Crime,True
criminals looted grocery store,Crime,True
wallet stolen from passenger,Crime,True
robbery attempt in ATM center,Crime,True
criminals stole cash bag,Crime,True
bike snatching reported,Crime,True
robbers attacked pedestrian,Crime,True
robbery incident reported nearby,Crime,True
criminal gang looted shop,Crime,True
robbers forced entry in house,Crime,True
crime activity reported in market,Crime,True
criminals stole valuables,Crime,True
robbery incident in neighborhood,Crime,True
theft reported from parked car,Crime,True
major robbery reported in area,Crime,True

person collapsed on road,Medical Emergency,True
man unconscious in market area,Medical Emergency,True
woman fainted in bus stand,Medical Emergency,True
medical emergency reported in office,Medical Emergency,True
person having severe chest pain,Medical Emergency,True
patient needs immediate ambulance,Medical Emergency,True
person having breathing difficulty,Medical Emergency,True
man injured and bleeding heavily,Medical Emergency,True
woman unconscious in house,Medical Emergency,True
person suffering from heart attack,Medical Emergency,True
sadak par aadmi behosh ho gaya,Medical Emergency,True
ghar me kisi ki tabiyat bahut kharab hai,Medical Emergency,True
ek aadmi gir kar behosh ho gaya,Medical Emergency,True
kisi ko heart attack aa gaya hai,Medical Emergency,True
ek lady ko saans lene me dikkat ho rahi hai,Medical Emergency,True
child fainted in school,Medical Emergency,True
patient needs urgent medical help,Medical Emergency,True
person suffering from severe injury,Medical Emergency,True
medical help required immediately,Medical Emergency,True
man bleeding after fall,Medical Emergency,True
woman complaining of chest pain,Medical Emergency,True
person injured badly in home,Medical Emergency,True
patient unconscious and not responding,Medical Emergency,True
old man collapsed near temple,Medical Emergency,True
woman having severe dizziness,Medical Emergency,True
sadak par ek aadmi gir gaya hai,Medical Emergency,True
ek vyakti ko turant doctor chahiye,Medical Emergency,True
bacha behosh ho gaya hai,Medical Emergency,True
kisi ko tez chakkar aa raha hai,Medical Emergency,True
ghar me medical emergency ho gayi hai,Medical Emergency,True
person vomiting continuously,Medical Emergency,True
patient having severe stomach pain,Medical Emergency,True
person having seizure attack,Medical Emergency,True
man injured and unable to move,Medical Emergency,True
lady collapsed in shopping mall,Medical Emergency,True
medical emergency in school classroom,Medical Emergency,True
person bleeding after accident,Medical Emergency,True
man complaining severe headache,Medical Emergency,True
woman unable to breathe properly,Medical Emergency,True
patient requires oxygen support,Medical Emergency,True
old woman unconscious at home,Medical Emergency,True
person severely injured needs help,Medical Emergency,True
medical emergency in train station,Medical Emergency,True
person collapsed during walk,Medical Emergency,True
patient suffering from stroke symptoms,Medical Emergency,True
man lying unconscious on street,Medical Emergency,True
lady fainted in office building,Medical Emergency,True
person badly injured in fall,Medical Emergency,True
urgent medical help required,Medical Emergency,True
patient not responding needs ambulance,Medical Emergency,True
ek aadmi ko bahut tez dard ho raha hai,Medical Emergency,True
ek vyakti ko turant hospital le jana hai,Medical Emergency,True
buzurg aadmi behosh ho gaye hain,Medical Emergency,True
lady ko achanak chakkar aa gaya,Medical Emergency,True
ghar me kisi ki tabiyat bahut bigad gayi hai,Medical Emergency,True
person injured and crying for help,Medical Emergency,True
patient breathing heavily,Medical Emergency,True
person unable to stand due to injury,Medical Emergency,True
medical emergency near bus stand,Medical Emergency,True
patient suffering severe pain,Medical Emergency,True
man collapsed in public place,Medical Emergency,True
woman injured and bleeding,Medical Emergency,True
person unconscious after fall,Medical Emergency,True
child injured during play,Medical Emergency,True
medical emergency reported nearby,Medical Emergency,True
person having sudden chest pain,Medical Emergency,True
patient needs urgent treatment,Medical Emergency,True
person unable to wake up,Medical Emergency,True
woman collapsed on street,Medical Emergency,True
medical emergency in residential area,Medical Emergency,True
person suffering from high fever and weakness,Medical Emergency,True
patient vomiting blood,Medical Emergency,True
person injured by fall from stairs,Medical Emergency,True
urgent ambulance required here,Medical Emergency,True
patient not breathing properly,Medical Emergency,True
person unconscious near park,Medical Emergency,True
serious medical emergency reported,Medical Emergency,True

car accident reported on highway,Accident,True
bike accident near market area,Accident,True
two vehicles collided on road,Accident,True
major road accident reported,Accident,True
bus hit a motorcycle,Accident,True
truck accident blocking road,Accident,True
car crashed into divider,Accident,True
bike skid caused accident,Accident,True
serious accident near bridge,Accident,True
vehicle overturned on highway,Accident,True
sadak par accident ho gaya,Accident,True
bike aur car ka accident ho gaya,Accident,True
sadak par do gadi takra gayi,Accident,True
ek truck palat gaya hai,Accident,True
bus ka accident ho gaya,Accident,True
car hit pedestrian on road,Accident,True
bike rider injured in accident,Accident,True
major collision reported on highway,Accident,True
truck hit roadside pole,Accident,True
vehicle crashed into shop,Accident,True
sadak par gadi palat gayi,Accident,True
bike se gir kar accident ho gaya,Accident,True
gadi divider se takra gayi,Accident,True
road par bada accident hua hai,Accident,True
car aur truck ki takkar ho gayi,Accident,True
bus accident reported near school,Accident,True
multiple vehicle accident reported,Accident,True
bike rider fell after collision,Accident,True
car hit roadside tree,Accident,True
road accident causing traffic jam,Accident,True
truck collided with bus,Accident,True
car lost control and crashed,Accident,True
bike accident causing injuries,Accident,True
vehicle accident near bus stand,Accident,True
major accident on expressway,Accident,True
sadak par gadi phisal kar gir gayi,Accident,True
bike se gir kar chot lag gayi,Accident,True
do gadiyon ki zor se takkar hui,Accident,True
truck aur car ki takkar ho gayi,Accident,True
road accident near railway crossing,Accident,True
car hit electric pole,Accident,True
bike crash reported in city,Accident,True
bus collided with truck,Accident,True
car accident near hospital,Accident,True
two bikes collided on road,Accident,True
vehicle crashed into wall,Accident,True
truck accident blocking highway,Accident,True
bike accident near traffic signal,Accident,True
car accident in parking area,Accident,True
major crash reported nearby,Accident,True
sadak par bhayanak accident hua hai,Accident,True
gadi takra kar toot gayi,Accident,True
bike aur bus ki takkar ho gayi,Accident,True
truck ne car ko takkar mar di,Accident,True
road accident causing injuries,Accident,True
vehicle flipped after collision,Accident,True
car accident reported in colony,Accident,True
bike rider hit by car,Accident,True
truck overturned near market,Accident,True
road crash reported near bridge,Accident,True
bus accident causing panic,Accident,True
vehicle crash blocking road,Accident,True
car and bike collision reported,Accident,True
truck crash on highway,Accident,True
serious accident near junction,Accident,True
bike accident causing heavy injury,Accident,True
vehicle accident near traffic light,Accident,True
car hit pedestrian crossing road,Accident,True
major accident reported in city,Accident,True
vehicle damaged after crash,Accident,True
truck accident causing road block,Accident,True
car crashed into roadside shop,Accident,True
bike accident reported near school,Accident,True
road accident emergency reported,Accident,True
vehicle collision near market,Accident,True
multiple car crash reported,Accident,True
serious traffic accident nearby,Accident,True

power outage reported in area,Power Outage,True
electricity not working since morning,Power Outage,True
complete blackout in neighborhood,Power Outage,True
power cut affecting entire colony,Power Outage,True
transformer burst causing outage,Power Outage,True
electric pole spark reported,Power Outage,True
high voltage line damaged,Power Outage,True
power supply disrupted suddenly,Power Outage,True
electric transformer caught fire,Power Outage,True
area facing long power outage,Power Outage,True
bijli chali gayi hai,Power Outage,True
poore area me light nahi hai,Power Outage,True
transformer phat gaya hai,Power Outage,True
bijli ki line toot gayi hai,Power Outage,True
electric pole se spark ho raha hai,Power Outage,True
power cut since last night,Power Outage,True
electricity failure reported nearby,Power Outage,True
electric line fallen on road,Power Outage,True
power outage near hospital area,Power Outage,True
transformer damage causing blackout,Power Outage,True
sudden electricity failure in market,Power Outage,True
electric pole broken after storm,Power Outage,True
power supply unstable in area,Power Outage,True
frequent power cuts reported,Power Outage,True
electric wire hanging dangerously,Power Outage,True
electric shock incident reported,Power Outage,True
bijli ki taar sadak par gir gayi,Power Outage,True
transformer se dhua nikal raha hai,Power Outage,True
light blink ho rahi hai baar baar,Power Outage,True
bijli ki supply band hai,Power Outage,True
power failure in residential colony,Power Outage,True
electric transformer overloaded,Power Outage,True
power line damage due to rain,Power Outage,True
electricity outage affecting traffic lights,Power Outage,True
street without electricity at night,Power Outage,True
power outage causing panic,Power Outage,True
electric pole leaning dangerously,Power Outage,True
electric line snapped during storm,Power Outage,True
power disruption reported citywide,Power Outage,True
electric transformer malfunction,Power Outage,True
bijli ki taar se chingari nikal rahi hai,Power Outage,True
light poori raat nahi aayi,Power Outage,True
transformer jal gaya hai,Power Outage,True
bijli ki problem chal rahi hai,Power Outage,True
area me power supply band hai,Power Outage,True
electric pole damaged in accident,Power Outage,True
power outage near school,Power Outage,True
electricity failure affecting hospital,Power Outage,True
transformer overheating reported,Power Outage,True
power line broken near road,Power Outage,True
bijli ki taar latak rahi hai,Power Outage,True
bijli ka transformer kharab ho gaya,Power Outage,True
light aati jaati rehti hai,Power Outage,True
area me voltage bahut low hai,Power Outage,True
bijli ki line se spark aa raha hai,Power Outage,True
electric shock risk reported,Power Outage,True
transformer noise and smoke reported,Power Outage,True
power outage in commercial area,Power Outage,True
electricity down after heavy rain,Power Outage,True
power failure causing traffic signal issue,Power Outage,True
bijli ki supply ruki hui hai,Power Outage,True
light problem in entire street,Power Outage,True
electric pole damaged badly,Power Outage,True
power cable cut accidentally,Power Outage,True
transformer explosion reported,Power Outage,True
electricity issue affecting homes,Power Outage,True
area without electricity for hours,Power Outage,True
electric line broken near market,Power Outage,True
power failure near railway station,Power Outage,True
electric pole fire incident reported,Power Outage,True
power outage in apartment complex,Power Outage,True
electric line touching tree branches,Power Outage,True
transformer short circuit reported,Power Outage,True
power outage affecting water pumps,Power Outage,True
electricity emergency reported nearby,Power Outage,True

online bank fraud reported,Cyber Crime,True
phishing email received asking for bank details,Cyber Crime,True
someone hacked my social media account,Cyber Crime,True
credit card fraud detected,Cyber Crime,True
online scam reported in payment app,Cyber Crime,True
fake website stealing login information,Cyber Crime,True
unauthorized transaction from bank account,Cyber Crime,True
otp fraud reported,Cyber Crime,True
cyber attack on company server,Cyber Crime,True
identity theft reported online,Cyber Crime,True
mere bank account se paise nikal gaye,Cyber Crime,True
kisi ne mera social media account hack kar liya,Cyber Crime,True
online fraud ho gaya hai,Cyber Crime,True
fake call se bank details le li,Cyber Crime,True
otp share karne ke baad paise kat gaye,Cyber Crime,True
phishing link se account hack ho gaya,Cyber Crime,True
online shopping fraud reported,Cyber Crime,True
fake job scam reported,Cyber Crime,True
crypto investment scam reported,Cyber Crime,True
malicious software detected on computer,Cyber Crime,True
hacker accessed personal email account,Cyber Crime,True
fake payment request received,Cyber Crime,True
online lottery scam reported,Cyber Crime,True
fraud message asking for otp,Cyber Crime,True
bank account hacked by cyber criminals,Cyber Crime,True
mobile app scam reported,Cyber Crime,True
fake online investment scheme,Cyber Crime,True
fraud call pretending to be bank officer,Cyber Crime,True
personal data leaked online,Cyber Crime,True
fake social media profile created,Cyber Crime,True
mere account se unauthorized transaction hua,Cyber Crime,True
kisi ne mera email hack kar diya,Cyber Crime,True
online payment fraud ho gaya,Cyber Crime,True
fake website par payment kar diya,Cyber Crime,True
online scam se paise chori ho gaye,Cyber Crime,True
ransomware attack reported,Cyber Crime,True
computer infected with malware,Cyber Crime,True
cyber criminals stole confidential data,Cyber Crime,True
fraud link sent through whatsapp,Cyber Crime,True
fake customer care scam,Cyber Crime,True
social media account compromised,Cyber Crime,True
unauthorized login attempt detected,Cyber Crime,True
online blackmail reported,Cyber Crime,True
cyber stalking incident reported,Cyber Crime,True
fake advertisement scam online,Cyber Crime,True
credit card details stolen online,Cyber Crime,True
data breach reported in company,Cyber Crime,True
online gaming fraud reported,Cyber Crime,True
fake loan app scam,Cyber Crime,True
scammer asking for payment online,Cyber Crime,True
bank fraud through phishing call,Cyber Crime,True
kisi ne mera otp lekar paise nikal liye,Cyber Crime,True
fake message se account hack ho gaya,Cyber Crime,True
online investment fraud hua,Cyber Crime,True
kisi ne mera atm details chura li,Cyber Crime,True
cyber fraud through fake website,Cyber Crime,True
scam email pretending government agency,Cyber Crime,True
fake courier scam asking payment,Cyber Crime,True
identity fraud using stolen documents,Cyber Crime,True
online banking credentials stolen,Cyber Crime,True
cyber criminals accessed database,Cyber Crime,True
fraud transaction detected online,Cyber Crime,True
hacker accessed company network,Cyber Crime,True
malware attack reported,Cyber Crime,True
online account compromised,Cyber Crime,True
fake investment app scam,Cyber Crime,True
scammer pretending tech support,Cyber Crime,True
phishing attack targeting users,Cyber Crime,True
cyber fraud reported on payment gateway,Cyber Crime,True
online extortion case reported,Cyber Crime,True
fraudulent transaction from debit card,Cyber Crime,True
kisi ne mera online wallet hack kar liya,Cyber Crime,True
fake link par click karne se account hack ho gaya,Cyber Crime,True
online job fraud me paise le liye,Cyber Crime,True
cyber crime complaint registered,Cyber Crime,True
data theft from company server,Cyber Crime,True
online scam through social media,Cyber Crime,True
digital payment fraud reported,Cyber Crime,True
cyber criminals stealing user data,Cyber Crime,True
